N a_tenpy_chi_16 a_error_tenpy_chi_16 a_tenpy_chi_32 a_error_tenpy_chi_32 a_tenpy_chi_64 a_error_tenpy_chi_64 a_tenpy_chi_128 a_error_tenpy_chi_128 a_tenpy_chi_256 a_error_tenpy_chi_256 a_tenpy_chi_512 a_error_tenpy_chi_512 a_tenpy_chi_1024 a_error_tenpy_chi_1024 a_isoTPS_D_2 a_error_isoTPS_D_2 a_isoTPS_D_3 a_error_isoTPS_D_3 a_isoTPS_D_4 a_error_isoTPS_D_4 a_isoTPS_D_5 a_error_isoTPS_D_5 a_isoTPS_D_6 a_error_isoTPS_D_6
72 -3.629981425318418 0.0027510063504629424 -3.646190291316031 0.0018217103580524386 -3.6541892214338465 0.0006544397344255609 -3.656568473295724 0.00016136186949274866 -3.657069707824079 2.604218498947393e-05 -3.657143581675425 2.723164227567521e-06 -3.6571513702372314 1.0544211003388427e-06 -3.645673425412102 0.001972316043093659 -3.6512818745416444 0.00044696571881446516 -3.654476836519505 0.0002312441616700069 -3.6555811255534554 0.000120873490569547 -3.6560328642583846 9.453863232787433e-05
98 -3.62037723225721 0.0028084682158994 -3.6395831463291097 0.0022260869152843287 -3.6512634362983354 0.0010718632928335009 -3.655650301788474 0.00035703807550812347 -3.656880005649268 7.720608255549166e-05 -3.6571167062959424 1.2139213360863396e-05 -3.6571505443650887 1.416888092873778e-06 -3.645178217933495 0.0020499290674673184 -3.6505002544847036 0.00026313585039618815 -3.6535835941228196 0.000279701985748913 -3.6551854255701315 0.00010911748260829697 -3.6557080538035858 9.157784312253473e-05
128 -3.6122142982510628 0.0023294025048378798 -3.6324773117532287 0.0022140443670890645 -3.6471627054225104 0.001429123037360952 -3.6540551159106074 0.0005947271750146011 -3.6564421091268677 0.0001702969604902138 -3.6570281455637623 3.557238241668851e-05 -3.6571373199593182 5.4525521195472745e-06 -3.645047759773531 0.0020775220815448126 -3.6500075115173627 0.00021307465839448276 -3.6532494885193376 0.0002044002946687337 -3.654861678013407 8.612586202641465e-05 -3.6553871701449476 9.15217318763712e-05
162 -3.6037390590639036 0.002411645589810193 -3.624959194763699 0.0021472411560173564 -3.6417967771432385 0.0017641624891160696 -3.6515207763144 0.0008998139856323099 -3.655581234163217 0.00032338501761382623 -3.6568106874607036 8.490014125267152e-05 -3.657096115581077 1.6536155347503608e-05 -3.638286311177409 0.0034881495657572803 -3.6498698611101568 0.00019160127477180192 -3.6525443712073185 0.0002565720072369922 -3.6545725369131152 7.685149193890823e-05 -3.6551959360227553 6.628622039383812e-05
200 -3.5982934821426324 0.0016778605316977242 -3.618822886991932 0.0016858269518669421 -3.6360572899936243 0.0017972053206596879 -3.6482041517437236 0.0011256952283038085 -3.6541814335712206 0.0005072631484302999 -3.656381877913797 0.00016541337607576414 -3.6569944219969486 3.979964412779611e-05 -3.6426827944278277 0.004740474590743839 -3.649264206387033 0.00031973201223700924 -3.652728774804857 0.0003006536942292521 -3.6539924505192496 0.00020625624887378547 -3.655006939121305 6.572010627915075e-05
242 -3.5939213888920283 0.0013153879639382143 -3.6130264847398395 0.001548591647714458 -3.6299172193388176 0.0018051416459622127 -3.644006008627876 0.0013508206035836466 -3.652090785257823 0.0007267147121083763 -3.6556152552110714 0.0002806261610038532 -3.6567754815908886 8.347038048361292e-05 -3.644788004634827 0.005011451686630922 -3.649805892590101 0.000424023735192701 -3.6525240772228496 0.00031526513033525215 -3.6539626757846833 0.00019953598255987437 -3.654753750700538 9.500080505004076e-05
288 -3.5916111663424286 0.0010186228920418972 -3.60899696570233 0.0011489973584178205 -3.624434075741893 0.0015565431032190922 -3.63959592610728 0.0013654235327401531 -3.6494199854815563 0.0008923091161038197 -3.654445732062463 0.000414099613767086 -3.6563797541898944 0.00014647962251061974 -3.6487935613412246 0.004739288325409117 -3.649924073911529 0.00042186415448050915 -3.652616175066895 0.0003165169803704051 -3.6538959711092955 0.00019303984779635023 -3.654869539344988 0.000133989350703291
338 -3.587896446194611 0.0012249566559407446 -3.6048729395207415 0.0011177029543339928 -3.6193802930138674 0.0013542441025274504 -3.6348500385450326 0.001398196348474561 -3.6460873590410343 0.0010656862816527271 -3.65276361507512 0.0005742984161296173 -3.65572082408732 0.00023646547498105462 -3.6500174576208404 0.004593731139935242 -3.6498795348716526 0.0004239512195316435 -3.6522391966039947 0.00038465665226817517 -3.65412546811466 0.00021982505264761925 -3.654938314989134 0.00013700381467744306
392 -3.587754638197875 0.0012153692975574739 -3.6029260416011604 0.0008057544886038276 -3.615587920137868 0.0010237193876793387 -3.6304239510534178 0.0012789492774694078 -3.6425485432980644 0.0010967433785714258 -3.650641957274546 0.00070129489838722 -3.654760018640833 0.0003341825387083793 -3.6500568425949957 0.00458670151227844 -3.649763749246165 0.00041700372934690605 -3.652526034142045 0.00043823514474004865 -3.6545808114173113 0.0002586309059135076 -3.654994652709625 0.00012834703024537205
450 -3.585114368080664 0.0013539414492291463 -3.5992004684269863 0.0012775471411094923 -3.6119267303866645 0.0009625943201241836 -3.6258921430172184 0.0012813134918790692 -3.6386422277809087 0.0011638829449595592 -3.648021708006926 0.0008368293400778176 -3.6534130613384255 0.0004539367064979716 -3.6566125115424075 0.006101262542554234 -3.6507473833791826 0.0004700578128939035 -3.652674829825417 0.0004491411249358352 -3.6550763343039443 0.00024168347033446367 -3.6551187718324525 0.00013670949487772847
512 -3.584781267534637 0.001335334091046045 -3.5979816398406905 0.0011403695643364422 -3.609915395005274 0.0006726350268284019 -3.6220404642785593 0.0011302884988144424 -3.63498913145171 0.0010758444468277931 -3.6451619408643796 0.0008902802820082309 -3.6517420318936615 0.0005487456029179932 -3.6602698582170246 0.006315938436013581 -3.6502826917188558 0.0005430644816072729 -3.6532322422721335 0.0004262536733052622 -3.6547828693490927 0.0003436887637275453 -3.654662445810624 0.00026609061766651914
