L energy_density_tenpy_chi_16 energy_density_tenpy_chi_32 energy_density_tenpy_chi_64 energy_density_tenpy_chi_128 energy_density_tenpy_chi_256 energy_density_tenpy_chi_512 energy_density_tenpy_chi_1024 energy_density_isoTPS_D_2 energy_density_isoTPS_D_3 energy_density_isoTPS_D_4 energy_density_isoTPS_D_5 energy_density_isoTPS_D_6
5 -3.6238956294227735 -3.6243733801198736 -3.6243941504455717 -3.6243946237450304 -3.6243946300529877 -3.6243946300968064 -3.6243946300969316 -3.6115970967026176 -3.6236758807075398 -3.624183514794238 -3.6243061451270155 -3.6243471325951346
6 -3.6277594661503962 -3.6293914753175454 -3.6295431487740206 -3.6295515316486178 -3.6295517872128165 -3.6295517923867453 -3.6295517924488485 -3.6161258624715864 -3.6284686348952087 -3.629229371158252 -3.6293783455476403 -3.6294525360119785
7 -3.629888102228711 -3.632773364724018 -3.633254979167885 -3.6333063769796032 -3.6333095153224173 -3.633309644002316 -3.6333096474439706 -3.618213521960143 -3.6318829482691792 -3.6328111674431773 -3.6330340097480924 -3.633144599033463
8 -3.6308799617121936 -3.6349294234218217 -3.6359758119711585 -3.636149154386065 -3.636167306094547 -3.636168531719455 -3.6361685895932587 -3.6220043992739925 -3.6343396077004475 -3.6354690916829733 -3.6357685348503033 -3.6359100946881626
9 -3.6306280223515777 -3.6360963503686516 -3.6379296981613307 -3.638346318410394 -3.638409103821528 -3.6384157229329426 -3.6384162168509055 -3.6242279560466764 -3.6362234570497645 -3.6375443236184366 -3.6379056135472307 -3.6380590714885814
10 -3.6303157501103875 -3.636651314391303 -3.6392965092173926 -3.6400465002757456 -3.6402035135916684 -3.6402268154774293 -3.6402292972408103 -3.6268227005890754 -3.6375859501346377 -3.639128982792207 -3.6396000673473976 -3.639802763880596
11 -3.629212611137864 -3.636643250860036 -3.6401368308444457 -3.641330049249526 -3.641651776358042 -3.6417132139753003 -3.641722043866416 -3.6277173414605914 -3.6388554794704615 -3.6403744298141416 -3.640974901552746 -3.6411975100596967
12 -3.628192277208009 -3.6363696847427036 -3.640593703284185 -3.6422798493666573 -3.6428183221159296 -3.6429470168034035 -3.6429708589765557 -3.6288708358968798 -3.63979688718967 -3.641516719384613 -3.642117870048274 -3.642353794822933
13 -3.6266399581508506 -3.635722310492643 -3.6406722525679074 -3.6429116332108373 -3.64373793504904 -3.643974096768571 -3.6440276234961964 -3.6289204664379286 -3.6406312571467967 -3.6423253960708752 -3.643070370379927 -3.6433444517005475
14 -3.6254846289314973 -3.635063631317729 -3.640558119725757 -3.64331098596563 -3.644447294683954 -3.6448272054219837 -3.644928110370883 -3.6312083910050084 -3.641222001875757 -3.6431718587833437 -3.643824263469438 -3.6441739900743233
15 -3.6240774480988938 -3.6341300986117338 -3.640179466722821 -3.643462145041352 -3.6449574264948352 -3.645522770277757 -3.6456958226177725 -3.632042866713961 -3.6419193552567526 -3.643778471688649 -3.6445659615956516 -3.644878151760523
16 -3.6228316062013852 -3.6332797181486267 -3.639714653996728 -3.6434748705548943 -3.6453091646171267 -3.6460816612025257 -3.6463488097066366 -3.6327975305346136 -3.642412217730911 -3.644368567771702 -3.645164802342472 -3.6455418309016885
17 -3.6213552247679703 -3.632236054596542 -3.639096314749491 -3.6433003565511584 -3.645493109367001 -3.6465076458827057 -3.6468964731165308 -3.6334452449269374 -3.6428566651679755 -3.644815233204845 -3.6457209412983254 -3.6460956569922516
18 -3.6202409258025354 -3.6313615097881455 -3.638460151478177 -3.6430366152301303 -3.64556965655374 -3.646822868043667 -3.647350855671069 -3.633998068342688 -3.64326532650832 -3.645314796756821 -3.6462265809992096 -3.6465864464660496
19 -3.6188925663105853 -3.6302139348360387 -3.6376984224764586 -3.6426290574013165 -3.6455067627162387 -3.647022706027032 -3.647713162345722 -3.635569250071601 -3.6436873483493155 -3.6457104090179624 -3.646679396818753 -3.647043340484765
20 -3.617798812987995 -3.629327382164051 -3.637008781439261 -3.642181798723554 -3.6453760318271056 -3.6471364617040747 -3.647997389482122 -3.636343486952598 -3.643960898472762 -3.646085391088961 -3.647032175083192 -3.647401833425
21 -3.6163754228152585 -3.628129798246011 -3.6361619739437723 -3.6416033243870882 -3.64513069052311 -3.647150848737068 -3.648198126078461 -3.637033811048622 -3.644288385756955 -3.646408874181467 -3.647398116797331 -3.64773330585034
22 -3.6155469783559764 -3.627369907783676 -3.635452680242118 -3.64105137801411 -3.644851468578558 -3.647091403276176 -3.648332161082481 -3.636037230971117 -3.6445912540582985 -3.6467565707520757 -3.6477413758394883 -3.6480887464359504
23 -3.614241271243255 -3.626232790635928 -3.6345600761219594 -3.6404039631552276 -3.6444768991740997 -3.646969754253308 -3.6483857238480706 -3.6377152170226963 -3.644796636097164 -3.647027069381948 -3.6480206981615133 -3.6483692851701326
24 -3.6134372995586483 -3.625364732207561 -3.6338717282412123 -3.6397823965652236 -3.6440889293174044 -3.6467899703639213 -3.6483706395313913 -3.637822523107186 -3.645068562746355 -3.6472198309219706 -3.6483020946881766 -3.6486549961111105
25 -3.6123142055220336 -3.624514097626538 -3.6329543250390737 -3.6390786020288353 -3.643618416551327 -3.6465327489494253 -3.6483137270611334 -3.636735248452212 -3.6452792254614135 -3.647511445657647 -3.6485251230290285 -3.64890553036
